x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
7.1,0.36,0.56,51,1.3,0.046,0.99614256,25,0.51054501,1.08,102,0.9923,3.24,0.33,10.5,6
6.6,0.25,0.3,67,1.6,0.046,0.996493853,32,0.534026106,0.75,134,0.993,3.42,0.51,10.1,7
7.3,,0.36,70,12.7,0.04,0.998999499,38,0.51851394,,140,0.998,3.3,0.79,9.6,6
7.5,0.23,0.68,66.5,11,0.047,0.998899394,37,0.475671188,0.69,133,0.9978,2.99,0.38,,5
6.5,0.31,0.14,66.5,7.5,0.044,0.997747463,34,0.507855872,0.93,133,0.9955,3.22,0.5,9.5,5
6.7,0.17,0.37,62.5,2,0.039,0.996092365,34,0.5132176,0.51,125,0.9922,3.26,0.6,10.8,7
5.9,0.3,0.23,59.5,4.2,0.038,0.996192752,42,0.498310554,0.9,119,0.9924,3.15,0.5,11,5
6.6,0.21,0.36,56.5,0.8,0.034,0.995816248,48,0.51054501,0.63,113,0.99165,3.24,0.68,10.5,6
7,0.35,0.3,43.5,6.5,0.028,0.996794864,27,0.531478917,1.05,87,0.9936,3.4,0.42,11.4,7
7.3,0.19,0.27,77.5,13.9,0.057,0.999034534,45,0.46834733,0.57,155,0.99807,2.94,0.41,8.8,8
5.8,0.27,0.4,65,1.2,0.076,0.995916663,47,0.495544338,0.81,130,0.99185,3.13,0.45,10.3,6
6.8,0.27,0.22,58,17.8,0.034,0.999449849,16,0.487138375,0.81,116,0.9989,3.07,0.53,9.2,5
7.4,0.25,0.28,39,7.25,0.028,0.996182714,14,0.46834733,0.75,78,0.99238,2.94,0.37,11.5,7
,0.12,0.31,60,5.2,0.045,0.997095783,29,0.532754379,0.36,120,0.9942,3.41,0.46,9.8,7
5.1,0.35,0.26,60,6.8,0.034,0.995931725,36,0.5289167,1.05,120,0.99188,3.38,0.4,11.5,6
,0.21,0.55,79.5,14.6,0.053,0.999024524,34,0.46686762,0.63,159,0.99805,2.93,0.44,9.2,5
8.3,0.39,0.7,84.5,10.6,0.045,0.998799279,33,0.489958479,1.17,169,0.9976,3.09,0.57,9.4,5
7.3,0.22,0.37,95.5,14.3,0.063,0.998899394,48,0.460897843,0.66,191,0.9978,2.89,0.38,9,6
6.6,0.22,,70,11.6,0.05,0.997627185,59,0.507855872,0.66,140,0.99526,3.22,0.4,10.8,5
8,0.61,0.38,110,12.1,0.301,0.999649939,24,0.46834733,1.83,220,0.9993,2.94,0.48,9.2,5
5,0.455,0.18,53,1.9,0.036,0.993710219,33,0.506505032,1.365,106,0.98746,3.21,0.83,14,7
5.8,0.29,0.21,60,2.6,0.025,0.99468588,12,0.530199698,0.87,120,0.9894,3.39,0.79,14,7
6.3,0.31,0.34,38.5,2.2,0.045,0.996343314,20,0.51851394,0.93,77,0.9927,3.3,0.43,10.2,5
5.5,0.62,0.33,59,1.7,0.037,0.993770597,24,0.498310554,1.86,118,0.98758,3.15,0.39,,6
6.2,0.76,0.01,60,3.2,0.041,0.995118083,18,0.505149978,2.28,120,0.99026,3.2,0.94,13.7,7
8.1,0.26,0.27,61.5,4.3,0.03,0.996052207,43,0.499687083,0.78,123,0.99212,3.16,0.33,11.2,6
8.5,0.15,0.49,61,1.5,0.031,0.9965942,17,0.481442629,0.45,122,0.9932,3.03,0.4,10.3,6
7.6,0.19,0.42,57,1.5,0.044,0.995690715,6,0.482873584,0.57,114,0.9914,3.04,0.74,12.8,6
6.7,0.18,0.25,74.5,14.3,0.048,0.998749218,79,0.494154594,0.54,149,0.9975,3.12,0.37,9.7,5
5.7,0.44,0.13,86.5,7,0.025,0.995640497,28,0.522444234,1.32,173,0.9913,3.33,0.48,12.5,6
7.6,0.39,0.22,56.5,2.8,0.036,0.99629313,19,0.481442629,1.17,113,0.9926,3.03,0.29,10.2,5
5.2,0.44,0.04,59.5,1.4,0.036,0.99468588,43,0.526339277,1.32,119,0.9894,3.36,0.33,12.1,8
6.3,0.32,0.26,85,12,0.049,0.998048095,63,0.496929648,0.96,170,0.9961,3.14,0.55,9.9,6
7.2,0.32,0.47,32.5,5.1,0.044,0.995489829,19,0.481442629,0.96,65,0.991,3.03,0.41,12.6,4
7,0.15,,60,13.3,0.049,0.998518903,46,0.505149978,0.45,120,0.99704,3.2,0.36,9.5,7
7,0.46,0.2,92,16.7,0.046,0.99948987,50,0.488550717,1.38,184,0.99898,3.08,0.56,9.4,5
7.3,0.41,0.24,81.5,6.8,0.057,0.99744674,41,0.505149978,1.23,163,0.9949,3.2,0.41,9.9,6
6.3,0.24,0.74,54,1.4,0.172,0.9965942,24,0.514547753,0.72,108,0.9932,3.27,0.39,9.9,6
6.6,0.22,0.28,90,4.9,0.042,0.997597113,51,0.51851394,0.66,180,0.9952,3.3,0.75,9.5,6
6.9,0.43,0.28,91.5,9.4,0.056,0.997967935,29,0.501059262,1.29,183,0.99594,3.17,0.43,9.4,5
6,0.26,0.33,40,4.35,0.04,0.994655719,15,0.517195898,0.78,80,0.98934,3.29,0.5,12.7,6
7.4,0.33,0.26,105,15.6,0.049,0.999534892,67,0.485721426,0.99,210,0.99907,3.06,0.68,,5
7.7,0.42,0.38,72,8.1,0.061,0.998298553,49,0.531478917,1.26,144,0.9966,3.4,0.58,11,6
6.5,,0.34,60.5,3.6,0.04,0.995545077,29,0.515873844,,121,0.99111,3.28,0.48,12.1,7
8.5,0.3,0.28,87,3.1,0.054,0.997712383,54,0.506505032,0.9,174,0.99543,3.21,0.43,9.4,6
10,0.91,0.42,90.5,1.6,0.056,0.998398718,34,0.492760389,2.73,181,0.9968,3.11,0.46,10,4
7.2,0.19,0.27,74.5,11.2,0.061,0.998859349,46,0.475671188,0.57,149,0.99772,2.99,0.59,9.3,6
7,0.35,0.3,43.5,6.5,0.028,0.996794864,27,0.531478917,1.05,87,0.9936,3.4,0.42,11.4,7
6.7,0.23,0.26,77,1.4,0.06,0.996694537,33,0.51054501,0.69,154,0.9934,3.24,0.56,9.5,6
7.3,0.51,0.29,112,11.3,0.034,0.998413742,61,0.496929648,1.53,224,0.99683,3.14,0.56,9.5,6
8.3,0.4,,37.5,1.1,0.038,0.996694537,15,0.481442629,1.2,75,0.9934,3.03,0.43,9.2,5
6.7,0.36,0.28,40.5,8.3,0.034,0.995745952,29,0.471291711,1.08,81,0.99151,2.96,0.39,12.5,6
6.8,0.24,0.4,52.5,1.8,0.047,0.994987437,34,0.495544338,0.72,105,0.99,3.13,0.49,12.8,8
8.1,0.29,0.49,62,7.1,0.042,0.997196069,22,0.496929648,0.87,124,0.9944,3.14,0.41,10.8,6
6.5,0.46,0.41,111,16.8,0.084,0.999649939,59,0.50242712,1.38,222,0.9993,3.18,0.58,9,5
6.3,0.13,0.42,73,1.1,0.043,0.995319044,63,0.495544338,0.39,146,0.99066,3.13,0.72,11.2,7
6.9,0.58,0.58,84.5,8.2,0.032,0.996368406,29,0.515873844,1.74,169,0.99275,3.28,0.44,,6
7.2,0.16,0.29,61.5,1,0.031,0.994776357,40,0.494154594,0.01,123,0.98958,3.12,0.4,12.1,7
7.8,0.21,0.49,49.5,1.2,0.036,0.994987437,20,0.484299839,0.63,99,0.99,3.05,0.28,12.1,7
6,0.21,0.24,82,12.1,0.05,0.998498873,55,0.523746467,0.63,164,0.997,3.34,0.39,9.4,5
6.6,0.34,0.24,49.5,3.3,0.034,0.995143206,29,0.491361694,1.02,99,0.99031,3.1,0.4,12.3,7
8.2,0.31,0.43,43.5,7,0.047,0.998138267,18,0.509202522,0.93,87,0.99628,3.23,0.64,10.6,5
7.2,0.26,0.32,57,10.4,0.062,0.998298553,23,0.509202522,0.78,114,0.9966,3.23,0.49,10.5,5
7.2,0.34,0.28,93.5,10.4,0.108,0.998689141,43,0.471291711,1.02,187,0.99738,2.96,0.57,9.4,5
6.2,0.235,0.34,58.5,1.9,0.036,0.99514823,4,0.531478917,0.705,117,0.99032,3.4,0.44,12.2,5
6.6,0.3,0.25,62,8,0.036,0.996804896,21,0.485721426,0.9,124,0.99362,3.06,0.38,10.8,6
5.5,0.14,0.27,52,4.6,0.029,0.99744674,22,0.523746467,0.42,104,0.9949,3.34,0.44,9,5
7.1,0.37,0.3,69.5,6.2,0.04,0.99509296,49,0.501059262,1.11,139,0.99021,3.17,0.27,13.6,6
5.5,0.24,0.45,56.5,1.7,0.046,0.996112443,22,0.507855872,0.72,113,0.99224,3.22,0.48,10,5
5.7,0.15,0.28,75.5,3.7,0.045,0.995640497,57,0.507855872,0.45,151,0.9913,3.22,0.27,11.2,6
8,0.17,0.29,59.5,2.4,0.029,0.994705987,52,0.481442629,0.51,119,0.98944,3.03,0.33,12.9,6
7.6,0.48,0.37,50,0.8,0.037,0.995087936,4,0.481442629,1.44,100,0.9902,3.03,0.39,,4
6.7,0.26,0.26,101,4.1,0.073,0.997797575,36,0.51851394,0.78,202,0.9956,3.3,0.67,9.5,5
7.5,0.26,0.59,82,11.8,0.046,0.999069567,58,0.501059262,0.78,164,0.99814,3.17,0.46,8.9,4
7.7,0.23,0.31,93,10.7,0.038,0.998448797,59,0.494154594,0.69,186,0.9969,3.12,0.55,9.5,6
5.5,0.3,0.25,59,1.9,0.029,0.994846722,33,0.526339277,0.9,118,0.98972,3.36,0.66,12.5,6
7.5,0.16,0.38,81.5,12.7,0.043,0.998528918,70.5,0.498310554,0.48,163,0.99706,3.15,0.82,10.4,7
14.2,0.27,0.49,78,1.1,0.037,0.995991968,33,0.498310554,0.81,156,0.992,3.15,0.54,11.1,6
6.1,0.19,0.37,49.5,2.6,0.041,0.995755994,24,0.50242712,0.57,99,0.99153,3.18,0.5,10.9,6
6.9,0.36,0.34,59.5,4.2,0.018,0.994886928,57,0.515873844,1.08,119,0.9898,3.28,0.36,12.7,9
5.2,0.17,0.27,34,0.7,0.03,0.996082326,11,0.51851394,0.51,68,0.99218,3.3,0.41,9.8,5
8,0.25,,68,1.1,0.054,0.99682496,13,0.488550717,0.75,136,0.99366,3.08,0.55,9.5,5
6.1,0.36,0.27,50,2.1,0.035,0.995841353,16,0.531478917,1.08,100,0.9917,3.4,0.71,11.5,7
7,0.24,0.34,53.5,1.4,0.031,0.994987437,27,0.485721426,0.72,107,0.99,3.06,0.39,11.9,6
7.9,0.22,0.45,70.5,14.2,0.038,0.99959992,53,0.481442629,0.66,141,0.9992,3.03,0.46,9.2,6
7.6,0.25,1.23,147,4.6,0.035,0.995077886,51,0.481442629,0.75,294,0.99018,3.03,0.43,13.1,6
6.4,0.16,0.22,74.5,1.4,0.04,0.99664437,41,0.542825427,0.48,149,0.9933,3.49,0.58,,6
6.9,0.17,0.3,58.5,2,0.047,0.995750973,13,0.499687083,0.51,117,0.99152,3.16,0.51,11.6,6
6.8,0.35,0.53,75.5,10.1,0.053,0.998148286,37,0.487138375,1.05,151,0.9963,3.07,0.4,9.4,5
6.8,0.16,0.4,51,2.3,0.037,0.99614256,18,0.542825427,0.48,102,0.9923,3.49,0.42,11.4,7
8.1,0.26,0.33,79,11.1,0.052,0.998799279,52.5,0.481442629,0.78,158,0.9976,3.03,0.49,10.2,7
6.6,0.2,,72.5,7.9,0.052,0.997346479,30,0.521138084,0.6,145,0.9947,3.32,0.56,11,7
7.4,0.35,0.31,93.5,17.95,0.062,1.000099995,42,0.514547753,1.05,187,1.0002,3.27,0.64,9.1,5
8.3,0.27,0.45,36,1.3,0.048,0.997196069,8,0.488550717,0.81,72,0.9944,3.08,0.61,10.3,4
7.2,0.58,0.27,59,5.8,0.032,0.995429556,40,0.501059262,1.74,118,0.99088,3.17,0.53,13,7
6.1,0.36,0.58,57.5,15,0.044,0.998899394,42,0.498310554,1.08,115,0.9978,3.15,0.51,9,5
7.1,0.18,0.74,88,15.6,0.044,0.99979998,44,0.5289167,0.54,176,0.9996,3.38,0.67,9,6
6.8,0.51,0.3,82.5,4.2,0.066,0.997246208,38,0.505149978,1.53,165,0.9945,3.2,0.42,9.1,5
6.9,0.4,0.17,93,12.9,0.033,0.998769243,59,0.488550717,1.2,186,0.99754,3.08,0.49,9.4,5
7.6,0.31,0.52,74,13.2,0.042,0.999194676,61,0.474216264,0.93,148,0.99839,2.98,0.47,9.1,6
8.1,0.36,0.59,67,13.6,0.051,0.999429837,60,0.471291711,1.08,134,0.99886,2.96,0.39,8.7,5
,0.63,0.04,66.5,1.3,0.058,0.996348333,25,0.501059262,1.89,133,0.99271,3.17,0.39,10.2,4
7.7,0.18,0.35,72,5.8,0.055,0.997877748,25,0.51054501,0.54,144,0.99576,3.24,0.54,10.2,6
6.7,0.25,0.33,86.5,2.9,0.057,0.996694537,52,0.480006943,0.75,173,0.9934,3.02,0.48,9.5,7
6.4,0.32,0.23,88,16.2,0.055,0.999299755,36,0.5132176,0.96,176,0.9986,3.26,0.54,,5
7.2,0.08,0.49,74,1.3,0.05,0.997246208,18,0.539076099,0.24,148,0.9945,3.46,0.44,10.2,6
5.3,0.3,0.3,46.5,1.2,0.029,0.993690093,25,0.519827994,0.9,93,0.98742,3.31,0.4,13.6,7
7.4,0.21,0.3,59,7.9,0.039,0.997095783,14,0.471291711,0.63,118,0.9942,2.96,0.34,10.4,5
6.4,0.32,0.27,61,4.9,0.034,0.995791143,18,0.526339277,0.96,122,0.9916,3.36,0.71,12.5,6
5.8,0.27,0.27,85,12.3,0.045,0.998599019,55,0.515873844,0.81,170,0.9972,3.28,0.42,9.3,6
7.5,0.18,0.45,79,4.6,0.041,0.996343314,67,0.478566496,0.54,158,0.9927,3.01,0.38,10.6,6
6.6,0.17,0.3,36.5,1.1,0.031,0.995464716,13,0.501059262,0.51,73,0.99095,3.17,0.58,11,6
7.1,0.34,0.31,70,5.2,0.032,0.995821269,36,0.525044807,1.02,140,0.99166,3.35,0.47,12.3,7
6.7,0.18,0.37,62.5,1.3,0.027,0.994680853,42,0.51054501,0.54,125,0.98939,3.24,0.37,12.8,7
7,0.22,0.32,60,1.6,0.045,0.995690715,40,0.474216264,0.66,120,0.9914,2.98,0.44,10.5,6
6.5,0.23,0.36,66.5,16.3,0.038,0.999619928,43,0.5132176,0.69,133,0.99924,3.26,0.41,8.8,5
8.4,0.35,0.56,95,13.8,0.048,0.999649939,55,0.487138375,1.05,190,0.9993,3.07,0.58,9.4,6
6.9,0.34,0.74,75,11.2,0.069,0.998398718,44,0.477121255,1.02,150,0.9968,3,0.81,9.2,5
7.8,0.4,0.49,81,7.8,0.06,0.998298553,34,0.5132176,1.2,162,0.9966,3.26,0.58,11.3,6
6.1,0.15,0.35,79,15.8,0.042,0.998208395,55,0.51054501,0.45,158,0.99642,3.24,0.37,10.6,5
7,0.21,0.34,126.5,8.5,0.033,0.997647232,31,0.507855872,0.63,253,0.9953,3.22,0.56,10.5,6
6.1,0.21,0.38,61,1.5,0.039,0.994846722,37,0.505149978,0.63,122,0.98972,3.2,0.43,12,6
7.4,0.24,0.31,91.5,8.4,0.045,0.998148286,52,0.489958479,0.72,183,0.9963,3.09,0.32,,5
8.2,0.28,0.42,46.5,1.8,0.031,0.995841353,30,0.489958479,0.84,93,0.9917,3.09,0.39,11.4,5
7.5,0.21,0.68,66.5,10.9,0.045,0.998899394,38,0.477121255,0.63,133,0.9978,3,0.36,8.7,5
6.7,0.27,0.25,101,8,0.053,0.998048095,54,0.507855872,0.81,202,0.9961,3.22,0.43,9.3,5
6.8,0.22,0.31,85,6.3,0.035,0.99589156,33,0.51054501,0.66,170,0.9918,3.24,0.66,12.6,6
7.3,0.22,0.41,95.5,15.4,0.05,1,55,0.521138084,0.66,191,1,3.32,0.59,8.9,6
5.9,0.65,,64,5,0.035,0.995067837,20,0.539076099,1.95,128,0.99016,3.46,0.48,12.8,6
6.4,0.23,0.26,90.5,8.1,0.054,0.997697349,47,0.494154594,0.69,181,0.9954,3.12,0.49,9.4,5
6.4,0.14,0.31,69,1.2,0.034,0.995409463,53,0.5289167,0.42,138,0.99084,3.38,0.35,11.5,7
6.9,0.19,0.28,73,5,0.058,0.997597113,14,0.517195898,0.57,146,0.9952,3.29,0.36,9.1,6
6,0.33,0.38,62,9.7,0.04,0.997697349,29,0.540329475,0.99,124,0.9954,3.47,0.48,11,6
7.6,0.27,0.24,57.5,3.8,0.058,0.99789779,19,0.498310554,0.81,115,0.9958,3.15,0.45,8.9,5
8.1,0.17,0.44,72.5,14.1,0.053,1.000299955,43,0.515873844,0.51,145,1.0006,3.28,0.75,8.8,8
7.1,0.26,0.29,120,12.4,0.044,0.998448797,62,0.482873584,0.78,240,0.9969,3.04,0.42,9.2,6
6.1,0.25,0.49,113,7.6,0.052,0.997797575,67,0.499687083,0.75,226,0.9956,3.16,0.47,8.9,5
7.1,0.26,0.19,93.5,8.2,0.051,0.997997996,53,0.499687083,0.78,187,0.996,3.16,0.52,,5
6.3,0.24,0.29,67,13.7,0.035,0.997832651,53,0.501059262,0.72,134,0.99567,3.17,0.38,10.6,6
6.2,0.255,0.24,136,1.7,0.039,0.997256236,138.5,0.547774705,0.765,272,0.99452,3.53,0.53,9.6,4
7,0.22,0.3,31.5,1.4,0.04,0.994912056,14,0.505149978,0.66,63,0.98985,3.2,0.33,12,6
5.7,0.46,0.46,84.5,1.4,0.04,0.9965942,31,0.495544338,1.38,169,0.9932,3.13,0.47,8.8,5
7.8,0.19,0.32,62,7.4,0.015,0.99638346,47,0.475671188,0.57,124,0.99278,2.99,0.39,11,6
6,0.18,0.31,37.5,1.4,0.036,0.995414487,14,0.523746467,0.54,75,0.99085,3.34,0.58,11.1,8
6.3,0.48,0.48,48,1.8,0.035,0.995595299,35,0.542825427,1.44,96,0.99121,3.49,0.74,12.2,6
6.8,0.27,0.32,71,1.5,0.044,0.996042168,19,0.491361694,0.81,142,0.9921,3.1,0.43,9.9,6
6.1,0.31,0.26,83.5,2.2,0.051,0.99629313,28,0.527629901,0.93,167,0.9926,3.37,0.47,10.4,6
6,0.28,0.24,55.5,17.8,0.047,,42,0.491361694,0.84,111,0.99896,3.1,0.45,8.9,6
5.8,0.23,0.31,79,3.5,0.044,0.994977387,35,0.503790683,0.69,158,0.98998,3.19,0.37,12.1,7
5.6,0.21,0.24,75,4.4,0.027,0.995489829,37,0.51851394,0.63,150,0.991,3.3,0.31,11.5,7
5.9,0.32,0.39,70,3.3,0.114,0.996694537,24,0.489958479,0.96,140,0.9934,3.09,0.45,9.2,6
5.7,0.18,0.22,55.5,4.2,0.042,0.996995486,25,0.525044807,0.54,111,0.994,3.35,0.39,9.4,5
6.6,0.28,,98,8.2,0.044,0.997807597,60,0.496929648,0.84,196,0.99562,3.14,0.48,,5
5.9,0.2,0.4,46,1.3,0.047,0.996152599,23,0.505149978,0.6,92,0.99232,3.2,0.45,10,6
,0.35,0.32,51.5,2.4,0.048,0.995540054,35,0.515873844,1.05,103,0.9911,3.28,0.46,12,8
6.6,0.21,0.29,64,1.8,0.026,0.995906622,,0.527629901,0.63,128,0.99183,3.37,0.48,11.2,6
6.4,0.27,0.17,99,8.4,0.044,0.997887769,60,0.506505032,0.81,198,0.99578,3.21,0.47,9.4,5
7.4,0.29,0.28,69,10.2,0.032,0.997546991,43,0.491361694,0.87,138,0.9951,3.1,0.47,10.6,6
8,0.34,0.49,90,9,0.033,0.996794864,39,0.495544338,1.02,180,0.9936,3.13,0.38,12.3,8
6.9,0.3,0.21,79.5,15.7,0.056,0.999134626,49,0.492760389,0.9,159,0.99827,3.11,0.48,9,5
7.3,0.13,0.31,52,2.3,0.054,0.996192752,22,0.51054501,0.39,104,0.9924,3.24,0.92,11.5,7
8,0.27,0.25,104,19.1,,1.000254967,50,0.484299839,0.81,208,1.00051,3.05,0.5,9.2,6
6.6,0.23,0.32,39.5,0.9,0.041,0.99629313,25,0.530199698,0.69,79,0.9926,3.39,0.54,10.2,7
6,0.2,0.32,59,3,0.031,0.995660585,26,,0.6,118,0.99134,3.38,0.68,11.2,7
7.9,0.18,0.37,37.5,1.2,0.04,0.995991968,16,0.50242712,0.54,75,0.992,3.18,0.63,10.8,5
7.3,0.25,0.36,88.5,2.1,0.034,0.995414487,30,0.511883361,0.75,177,0.99085,3.25,0.4,11.9,8
5.3,0.43,0.11,25.5,1.1,0.029,0.995369278,6,0.545307116,1.29,51,0.99076,3.51,0.48,11.2,4
9.6,0.655,,60,2,0.039,0.995931725,21,0.477121255,1.965,120,0.99188,3,1,,6
8.9,0.34,0.32,94,1.3,0.041,0.997647232,12,0.501059262,1.02,188,0.9953,3.17,0.49,9.5,5
5.9,0.32,0.26,70.5,1.5,0.057,0.995841353,17,0.51054501,0.96,141,0.9917,3.24,0.36,10.7,5
,0.3,0.23,119.25,4.6,0.061,0.99789779,50.5,0.521138084,0.9,238.5,0.9958,3.32,0.6,9.5,5
6.9,0.34,0.36,72.5,1.4,0.032,0.996062247,13,0.487138375,1.02,145,0.99214,3.07,0.52,9.8,5
6.8,0.21,0.31,60.5,2.9,0.046,0.995640497,40,0.487138375,0.63,121,0.9913,3.07,0.65,10.9,7
6.4,0.34,0.23,71.5,6.3,0.039,0.997196069,37,0.503790683,1.02,143,0.9944,3.19,0.65,10,6
6,0.27,0.19,55,1.7,0.02,0.994886928,24,0.521138084,0.81,110,0.9898,3.32,0.47,12.6,7
7.3,0.19,0.24,115.5,6.3,0.054,0.998198377,34,0.526339277,0.57,231,0.9964,3.36,0.54,10,6
9.3,0.2,0.33,89,1.7,0.05,0.997697349,28,0.499687083,0.6,178,0.9954,3.16,0.43,9,4
6.5,0.21,0.37,69,2.5,0.048,0.995841353,70,0.522444234,0.63,138,0.9917,3.33,0.75,11.4,7
6.4,0.125,0.29,49.5,5.85,0.042,0.995991968,24,0.509202522,0.375,99,0.992,3.23,0.32,12,7
8.1,0.27,0.41,31.5,1.45,0.033,0.995389371,11,0.475671188,0.81,63,0.9908,2.99,0.56,12,5
6.7,0.2,0.37,51.5,1.65,0.025,0.995097985,42,0.492760389,0.6,103,0.99022,3.11,0.45,11.4,5
6.7,0.13,0.45,65.5,4.2,0.043,0.995801185,52,0.485721426,0.39,131,0.99162,3.06,0.54,11.3,6
7.7,0.38,0.23,47.5,10.8,0.03,0.995811227,28,0.46686762,1.14,95,0.99164,2.93,0.41,,6
8.1,0.31,0.24,33.5,1.6,0.032,0.996192752,10,0.488550717,0.93,67,0.9924,3.08,0.47,10.5,5
7,0.23,0.33,68,5.8,0.04,0.997496867,25,0.503790683,0.69,136,0.995,3.19,0.58,9.5,6
7.1,0.35,0.27,67,3.1,0.034,0.99483667,28,0.5132176,1.05,134,0.9897,3.26,0.38,13.1,7
8,0.23,0.46,62.5,1.5,0.03,0.995339138,30,0.509202522,0.69,125,0.9907,3.23,0.47,12.5,6
,0.41,0.27,51.5,10.7,0.11,0.998358653,20,0.488550717,1.23,103,0.99672,3.08,0.41,9,6
6.8,0.25,0.37,46.5,3.1,0.026,0.995163303,29,0.496929648,0.75,93,0.99035,3.14,0.45,12.2,6
7.4,0.38,0.34,84,8.3,0.052,0.998133258,44,0.492760389,1.14,168,0.99627,3.11,0.52,9.2,5
8.5,0.56,0.74,121.5,17.85,0.051,1.000249969,51,0.475671188,1.68,243,1.0005,2.99,0.7,9.2,5
6,0.41,0.23,74,1.1,0.066,0.996323241,22,0.51851394,1.23,148,0.99266,3.3,0.47,9.633333333,5
8.1,0.24,0.26,105.5,11,0.043,0.998378686,41,0.492760389,0.72,211,0.99676,3.11,0.49,10,6
7.8,0.43,0.49,79,13,0.033,0.997747463,37,0.496929648,1.29,158,0.9955,3.14,0.35,11.3,6
5.8,0.3,0.09,69,6.3,0.042,0.996905211,36,0.498310554,0.9,138,0.99382,3.15,0.48,9.7,5
7.2,0.32,0.4,77,8.7,0.038,0.997837662,45,0.505149978,0.96,154,0.99568,3.2,0.47,10.4,6
